movie_id,title,genre,poster,rating
162,"Repeated Absences",Movie,https://image.tmdb.org/t/p/w500/1tyoj4hZZIrtsuRt7qqKlz30LBq.jpg,4.286
163,Sinners,Movie,https://image.tmdb.org/t/p/w500/4CkZl1LK6a5rXBqJB2ZP77h3N5i.jpg,7.503
164,"Amityville Exorcism",Movie,https://image.tmdb.org/t/p/w500/9hqGKcQ1XNhKzc2gDiEPbO9gh4S.jpg,3.6
165,"The Unsuspected",Movie,https://image.tmdb.org/t/p/w500/cUhDjZUHtWuB1tAnpHbIXeQMsGb.jpg,6.6
166,"Born Yesterday",Movie,https://image.tmdb.org/t/p/w500/hPiQUhnkgp2O9bQz9KhSyOjLvGl.jpg,7.2
167,Inception,Movie,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,8.37
168,"Meteor Apocalypse",Movie,https://image.tmdb.org/t/p/w500/dQmxTUlLYvy7tCkSctD4QpalPsb.jpg,5.1
169,"The Judge",Movie,https://image.tmdb.org/t/p/w500/3K93GWotLXe4FqpErri0xkpLaD5.jpg,7.329
170,Predators,Movie,https://image.tmdb.org/t/p/w500/sx5EuckP7SBQrlMlxg0PLt282WS.jpg,6.289
171,"Now You See Me",Movie,https://image.tmdb.org/t/p/w500/tWsNYbrqy1p1w6K9zRk0mSchztT.jpg,7.332
172,"The Astronaut",Movie,https://image.tmdb.org/t/p/w500/souvvkJHYhztC1UqZ8lEVUiJa3J.jpg,5.825
173,"June Zero",Movie,https://image.tmdb.org/t/p/w500/nyFh9zRa8KMWgMng87t3TEr3XEX.jpg,7.7
174,"Stone Markers",Movie,https://image.tmdb.org/t/p/w500/8RoxG7C3vhlCACo0i2rYbnkwSOn.jpg,1
175,Avatar,Movie,https://image.tmdb.org/t/p/w500/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,7.594
176,"The King of Snipers",Movie,https://image.tmdb.org/t/p/w500/r5C85R0Bc6RL51PnPv2HIvpSMJ7.jpg,5.6
177,"Sonic the Hedgehog 3",Movie,https://image.tmdb.org/t/p/w500/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,7.651
178,"The Prank",Movie,https://image.tmdb.org/t/p/w500/kLDglJRVvImOzZ3VdtxrcOnqEF9.jpg,5.571
179,Coraline,Movie,https://image.tmdb.org/t/p/w500/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,7.895
180,"Light of the World",Movie,https://image.tmdb.org/t/p/w500/3vUqo90FCIHXPiXnQJEeqzg5EDV.jpg,9
181,"The Substance",Movie,https://image.tmdb.org/t/p/w500/lqoMzCcZYEFK729d6qzt349fB4o.jpg,7.141
182,"Your Name.",Movie,https://image.tmdb.org/t/p/w500/q719jXXEzOoYaps6babgKnONONX.jpg,8.478
183,"The Incredibles",Movie,https://image.tmdb.org/t/p/w500/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,7.72
